,,,,,,,,,
Bank,Year,Net_Income,Total_Assets,Total_Equity,Revenue,NonInterest_Expense,Total_Loans,Provision for credit losses,Provision for loan losses
JPMC,2018,"32,474","26,22,532","2,56,515","1,09,029","63,394","9,71,109","4,871","13,445"
WF,2018,"22,393","18,95,883","1,97,066","86,408","36,413","9,53,110",1744,"9,775"
JPMC,2019,"36,431","26,87,379","2,61,330","1,15,720","65,269","9,46,646","5,585","13,123"
WF,2019,"19,549","19,27,555","1,87,984","85,063","37,832","9,62,265","2,687","9,551"
JPMC,2020,"29,131","33,84,757","2,79,354","1,19,951","66,656","9,84,525",17480,"28,328"
WF,2020,"3,301","19,55,163","1,85,920","72,340","32,505","8,87,637","14,129","18,516"
JPMC,2021,"48,334","37,43,567","2,94,127","1,21,649","71,343","10,61,328",9256,"16,386"
WF,2021,"21,548","19,41,905","1,90,110","78,492","42,713","8,95,394",4155,12490
JPMC,2022,"37,676","36,65,743","2,92,332","1,28,695","76,140","11,15,921",6389,"19,726"
WF,2022,"13,182","18,94,309","1,81,875","73,785","28,835","9,29,820","1,534",12985
JPMC,2023,"49,552","38,75,393","3,27,878","1,58,104","87,172","13,01,286","9,320","22,420"
WF,2023,"19,142","19,32,468","1,87,443","82,597","30,222","9,43,916","5,399",14606
JPMC,2024,"58,471","40,02,814","3,44,758","1,77,556","91,797","13,23,643","10,678","24,345"
WF,2024,"19,722","19,29,845","1,81,066","82,296","34,620","9,15,376","4,334",14183
