Bank,Year,Net_Income,Total_Assets,Total_Equity,Revenue,NonInterest_Expense,Total_Loans,Provision_for_credit_losses,Provision_for_loan_losses
JPMC,2018,32474,2622532,256515,109029,63394,971109,4871,13445
WF,2018,22393,1895883,197066,86408,36413,953110,1744,9775
JPMC,2019,36431,2687379,261330,115720,65269,946646,5585,13123
WF,2019,19549,1927555,187984,85063,37832,962265,2687,9551
JPMC,2020,29131,3384757,279354,119951,66656,984525,17480,28328
WF,2020,3301,1955163,185920,72340,32505,887637,14129,18516
JPMC,2021,48334,3743567,294127,121649,71343,1061328,9256,16386
WF,2021,21548,1941905,190110,78492,42713,895394,4155,12490
JPMC,2022,37676,3665743,292332,128695,76140,1115921,6389,19726
WF,2022,13182,1894309,181875,73785,28835,929820,1534,12985
JPMC,2023,49552,3875393,327878,158104,87172,1301286,9320,22420
WF,2023,19142,1932468,187443,82597,30222,943916,5399,14606
JPMC,2024,58471,4002814,344758,177556,91797,1323643,10678,24345
WF,2024,19722,1929845,181066,82296,34620,915376,4334,14183
