Bank,Year,Total_Loans,Provision_for_Credit_Losses,Provision_for_loan_losses,Provision_Ratio,Reserve_Ratio
JPMC,2018,971109,4871,13445,0.0050,0.0138
WF,2018,953110,1744,9775,0.0018,0.0103
JPMC,2019,946646,5585,13123,0.0059,0.0139
WF,2019,962265,2687,9551,0.0028,0.0099
JPMC,2020,984525,17480,28328,0.0178,0.0288
WF,2020,887637,14129,18516,0.0159,0.0209
JPMC,2021,1061328,9256,16386,0.0087,0.0154
WF,2021,895394,4155,12490,0.0046,0.0139
JPMC,2022,1115921,6389,19726,0.0057,0.0177
WF,2022,929820,1534,12985,0.0016,0.0140
JPMC,2023,1301286,9320,22420,0.0072,0.0172
WF,2023,943916,5399,14606,0.0057,0.0155
JPMC,2024,1323643,10678,24345,0.0081,0.0184
WF,2024,915376,4334,14183,0.0047,0.0155
